decimalLatitude,decimalLongitude,Year,SPRING,SUMMER,SUMMER_before,SPRING_temp,SUMMER_temp,SUMMER_before_temp
50.7409,-4.6333,1925,SEASON_1925-04-16,SEASON_1925-07-16,SEASON_1924-07-16,7.593078950345157,14.808949890992492,13.593331379850932
50.5708,-3.6503,1912,SEASON_1912-04-16,SEASON_1912-07-16,SEASON_1911-07-16,9.757025129683685,14.138110716530532,16.971430060216637
50.8449,-1.7888,1946,SEASON_1946-04-16,SEASON_1946-07-16,SEASON_1945-07-16,8.474855524339716,14.498585246750949,15.472309542342593
51.3509,0.8194,1931,SEASON_1931-04-16,SEASON_1931-07-16,SEASON_1930-07-16,7.94823690059032,15.379823180770314,15.995608370368066
50.8765,-1.6315,1899,SEASON_1899-04-16,SEASON_1899-07-16,SEASON_1898-07-16,8.520629804577972,18.041294478780557,16.245853945274938
50.5219,-4.8234,1949,SEASON_1949-04-16,SEASON_1949-07-16,SEASON_1948-07-16,9.271561231422117,16.306051785246655,14.676598821474048
50.5219,-4.8234,1905,SEASON_1905-04-16,SEASON_1905-07-16,SEASON_1904-07-16,8.927145671405011,15.320511909083935,14.923923706000123
50.8765,-1.6315,1921,SEASON_1921-04-16,SEASON_1921-07-16,SEASON_1920-07-16,9.65763528028539,16.88433876600108,14.537068203947351
51.0814,1.1695,1902,SEASON_1902-04-16,SEASON_1902-07-16,SEASON_1901-07-16,7.478442627794139,14.517208631365918,15.914282524637983
50.4619,-3.5253,1911,SEASON_1911-04-16,SEASON_1911-07-16,SEASON_1910-07-16,8.878900813655843,17.010243478996966,14.782531217103427
50.8726,-1.5768,1893,SEASON_1893-04-16,SEASON_1893-07-16,SEASON_1892-07-16,11.127743208011145,17.190286276062288,15.418316801085364
52.1823,1.613,1914,SEASON_1914-04-16,SEASON_1914-07-16,SEASON_1913-07-16,8.769137288375397,15.95166939625587,14.41948513176356
50.8765,-1.6315,1916,SEASON_1916-04-16,SEASON_1916-07-16,SEASON_1915-07-16,8.602551998685264,15.226369280511545,15.442227092431503
50.8765,-1.6315,1919,SEASON_1919-04-16,SEASON_1919-07-16,SEASON_1918-07-16,8.573292783978324,15.410922611138202,15.495242904923396
50.8449,-1.7888,1896,SEASON_1896-04-16,SEASON_1896-07-16,SEASON_1895-07-16,9.736111905090636,16.231878997082127,15.536876404761392
50.6083,-1.9608,1921,SEASON_1921-04-16,SEASON_1921-07-16,SEASON_1920-07-16,9.688586786141865,16.755661754872083,14.395841546558822
50.8947,-2.2061,1962,SEASON_1962-04-16,SEASON_1962-07-16,SEASON_1961-07-16,6.52599308037484,14.105604225418958,15.115067214945164
51.3509,0.8194,1915,SEASON_1915-04-16,SEASON_1915-07-16,SEASON_1914-07-16,7.90822399296633,15.236969534157534,16.074918669590055
51.0814,1.1695,1908,SEASON_1908-04-16,SEASON_1908-07-16,SEASON_1907-07-16,7.127343136104352,14.893596444685924,13.785170715576227
50.8464,0.1924,1902,SEASON_1902-04-16,SEASON_1902-07-16,SEASON_1901-07-16,7.750362715373812,14.451008132283684,15.760051006229501
52.2066,0.0669,1911,SEASON_1911-04-16,SEASON_1911-07-16,SEASON_1910-07-16,8.575384274332952,17.56961518540085,15.13534816749693
50.572,-3.9211,1930,SEASON_1930-04-16,SEASON_1930-07-16,SEASON_1929-07-16,7.35411147631165,14.054264790187975,13.471125876609896
53.4256,-2.3237,1930,SEASON_1930-04-16,SEASON_1930-07-16,SEASON_1929-07-16,7.712406614481725,15.045751700694595,14.48906542967533
50.6083,-1.9608,1931,SEASON_1931-04-16,SEASON_1931-07-16,SEASON_1930-07-16,8.09846884557434,15.142382824975709,16.045594781993717
50.8765,-1.6315,1922,SEASON_1922-04-16,SEASON_1922-07-16,SEASON_1921-07-16,8.427236062452522,14.476247650654994,16.88433876600108
50.5935,-3.6726,1917,SEASON_1917-04-16,SEASON_1917-07-16,SEASON_1916-07-16,7.651044848065921,15.178116595556284,14.61815295540672
51.2484,-0.7558,1927,SEASON_1927-04-16,SEASON_1927-07-16,SEASON_1926-07-16,9.248438889499045,14.84632666723694,15.718672073639144
53.2953,-3.8711,1942,SEASON_1942-04-16,SEASON_1942-07-16,SEASON_1941-07-16,7.262660264855032,13.48830750661638,13.578346315236583
53.3241,-3.8276,1938,SEASON_1938-04-16,SEASON_1938-07-16,SEASON_1937-07-16,7.602964874691495,12.891259281194838,13.64919840970736
53.3241,-3.8276,1950,SEASON_1950-04-16,SEASON_1950-07-16,SEASON_1949-07-16,7.378199204555913,13.957656751579686,14.433214436671593
53.3241,-3.8276,1941,SEASON_1941-04-16,SEASON_1941-07-16,SEASON_1940-07-16,5.748027785371679,13.578346315236583,13.741086284318671
50.9055,-0.529,1907,SEASON_1907-04-16,SEASON_1907-07-16,SEASON_1906-07-16,8.421639169153396,14.131314130591772,15.565977965681691
51.3509,0.8194,1910,SEASON_1910-04-16,SEASON_1910-07-16,SEASON_1909-07-16,8.221170621917224,15.062248878802531,14.456381918299032
51.2331,-1.2109,1932,SEASON_1932-04-16,SEASON_1932-07-16,SEASON_1931-07-16,7.004464316277602,15.658784157439115,14.638779973640723
