VCNUMBER,VCNAME,MidDate,Year,Month,Mid,MeanTemp,Season
78,Peeblesshire,1910-10-16,1910,10,16,5.91154670715332,Autumn
78,Peeblesshire,1911-01-16,1911,1,16,2.695661783218384,Winter
78,Peeblesshire,1911-04-16,1911,4,16,5.634022235870361,Spring
78,Peeblesshire,1911-07-16,1911,7,16,12.893898010253906,Summer
78,Peeblesshire,1911-10-16,1911,10,16,6.3324785232543945,Autumn
78,Peeblesshire,1912-01-16,1912,1,16,2.1945295333862305,Winter
78,Peeblesshire,1912-04-16,1912,4,16,6.105861186981201,Spring
78,Peeblesshire,1912-07-16,1912,7,16,10.964588165283203,Summer
78,Peeblesshire,1912-10-16,1912,10,16,5.82412576675415,Autumn
78,Peeblesshire,1913-01-16,1913,1,16,2.2299914360046387,Winter
78,Peeblesshire,1913-04-16,1913,4,16,5.216891765594482,Spring
78,Peeblesshire,1913-07-16,1913,7,16,11.84589672088623,Summer
78,Peeblesshire,1913-10-16,1913,10,16,7.8793816566467285,Autumn
78,Peeblesshire,1914-01-16,1914,1,16,2.5279598236083984,Winter
78,Peeblesshire,1914-04-16,1914,4,16,5.931740760803223,Spring
78,Peeblesshire,1914-07-16,1914,7,16,12.557975769042969,Summer
78,Peeblesshire,1914-10-16,1914,10,16,7.496687889099121,Autumn
78,Peeblesshire,1915-01-16,1915,1,16,1.454866886138916,Winter
78,Peeblesshire,1915-04-16,1915,4,16,5.166888236999512,Spring
78,Peeblesshire,1915-07-16,1915,7,16,11.826960563659668,Summer
78,Peeblesshire,1915-10-16,1915,10,16,5.63367223739624,Autumn
78,Peeblesshire,1916-01-16,1916,1,16,2.45607590675354,Winter
78,Peeblesshire,1916-04-16,1916,4,16,4.623579025268555,Spring
78,Peeblesshire,1916-07-16,1916,7,16,11.709057807922363,Summer
78,Peeblesshire,1916-10-16,1916,10,16,7.330438613891602,Autumn
78,Peeblesshire,1917-01-16,1917,1,16,0.24666544795036316,Winter
78,Peeblesshire,1917-04-16,1917,4,16,4.020790100097656,Spring
78,Peeblesshire,1917-07-16,1917,7,16,12.334674835205078,Summer
78,Peeblesshire,1917-10-16,1917,10,16,7.0236124992370605,Autumn
78,Peeblesshire,1918-01-16,1918,1,16,1.7338639497756958,Winter
78,Peeblesshire,1918-04-16,1918,4,16,5.687461853027344,Spring
78,Peeblesshire,1918-07-16,1918,7,16,11.94620418548584,Summer
78,Peeblesshire,1918-10-16,1918,10,16,5.922056198120117,Autumn
78,Peeblesshire,1919-01-16,1919,1,16,1.357651710510254,Winter
78,Peeblesshire,1919-04-16,1919,4,16,5.124896049499512,Spring
78,Peeblesshire,1919-07-16,1919,7,16,11.573607444763184,Summer
78,Peeblesshire,1919-10-16,1919,10,16,5.465073585510254,Autumn
78,Peeblesshire,1920-01-16,1920,1,16,2.4951083660125732,Winter
78,Peeblesshire,1920-04-16,1920,4,16,5.779083251953125,Spring
78,Peeblesshire,1920-07-16,1920,7,16,11.182369232177734,Summer
78,Peeblesshire,1920-10-16,1920,10,16,7.803486347198486,Autumn
78,Peeblesshire,1921-01-16,1921,1,16,2.7773871421813965,Winter
78,Peeblesshire,1921-04-16,1921,4,16,6.054673671722412,Spring
78,Peeblesshire,1921-07-16,1921,7,16,12.397505760192871,Summer
78,Peeblesshire,1921-10-16,1921,10,16,7.8090057373046875,Autumn
78,Peeblesshire,1922-01-16,1922,1,16,2.318437337875366,Winter
78,Peeblesshire,1922-04-16,1922,4,16,4.67791748046875,Spring
78,Peeblesshire,1922-07-16,1922,7,16,10.368866920471191,Summer
78,Peeblesshire,1922-10-16,1922,10,16,6.297034740447998,Autumn
78,Peeblesshire,1923-01-16,1923,1,16,3.1079025268554688,Winter
78,Peeblesshire,1923-04-16,1923,4,16,4.778811931610107,Spring
78,Peeblesshire,1923-07-16,1923,7,16,11.651076316833496,Summer
78,Peeblesshire,1923-10-16,1923,10,16,5.744843482971191,Autumn
78,Peeblesshire,1924-01-16,1924,1,16,1.72230064868927,Winter
78,Peeblesshire,1924-04-16,1924,4,16,4.282760143280029,Spring
78,Peeblesshire,1924-07-16,1924,7,16,11.307079315185547,Summer
78,Peeblesshire,1924-10-16,1924,10,16,7.231076240539551,Autumn
78,Peeblesshire,1925-01-16,1925,1,16,3.3950095176696777,Winter
78,Peeblesshire,1925-04-16,1925,4,16,5.178251266479492,Spring
78,Peeblesshire,1925-07-16,1925,7,16,12.737902641296387,Summer
78,Peeblesshire,1925-10-16,1925,10,16,5.748486518859863,Autumn
78,Peeblesshire,1926-01-16,1926,1,16,1.946195363998413,Winter
78,Peeblesshire,1926-04-16,1926,4,16,5.73804235458374,Spring
78,Peeblesshire,1926-07-16,1926,7,16,12.547323226928711,Summer
78,Peeblesshire,1926-10-16,1926,10,16,6.100522994995117,Autumn
78,Peeblesshire,1927-01-16,1927,1,16,2.319702625274658,Winter
78,Peeblesshire,1927-04-16,1927,4,16,5.38075590133667,Spring
78,Peeblesshire,1927-07-16,1927,7,16,11.626681327819824,Summer
78,Peeblesshire,1927-10-16,1927,10,16,6.753851890563965,Autumn
78,Peeblesshire,1928-01-16,1928,1,16,1.7128504514694214,Winter
78,Peeblesshire,1928-04-16,1928,4,16,5.326790809631348,Spring
78,Peeblesshire,1928-07-16,1928,7,16,10.987336158752441,Summer
78,Peeblesshire,1928-10-16,1928,10,16,7.0327467918396,Autumn
78,Peeblesshire,1929-01-16,1929,1,16,-0.004080959130078554,Winter
78,Peeblesshire,1929-04-16,1929,4,16,5.391926288604736,Spring
78,Peeblesshire,1929-07-16,1929,7,16,11.460672378540039,Summer
78,Peeblesshire,1929-10-16,1929,10,16,7.1074042320251465,Autumn
78,Peeblesshire,1930-01-16,1930,1,16,1.5648300647735596,Winter
78,Peeblesshire,1930-04-16,1930,4,16,5.03652286529541,Spring
78,Peeblesshire,1930-07-16,1930,7,16,12.258689880371094,Summer
78,Peeblesshire,1930-10-16,1930,10,16,6.838400363922119,Autumn
78,Peeblesshire,1931-01-16,1931,1,16,1.494752287864685,Winter
78,Peeblesshire,1931-04-16,1931,4,16,4.791603088378906,Spring
78,Peeblesshire,1931-07-16,1931,7,16,11.239569664001465,Summer
78,Peeblesshire,1931-10-16,1931,10,16,6.840572834014893,Autumn
