Individual,Taxon name,Location,LocationType,Month,Year,Sex,Wing_Length,Forewing_Area,Abdomen_Width,Abdomen_Length
56,Pyrgus malvae,Hampshire,UA,5,1911,NA,10.228,41.621,2.167,4.532
73,Pyrgus malvae,Oxfordshire,VC,5,1911,NA,10.878,45.292,2.098,5.18
74,Pyrgus malvae,Berkshire,VC,5,1911,NA,10.864,44.687,2.214,4.314
34,Hesperia comma,Surrey,VC,7,1911,male,14.596,67.783,2.292,6.727
37,Hesperia comma,Surrey,VC,7,1911,male,12.754,57.627,2.612,6.258
38,Hesperia comma,Surrey,VC,7,1911,female,14.198,72.499,2.725,5.638
45,Hesperia comma,Surrey,VC,7,1911,male,12.649,55.575,1.825,5.337
46,Hesperia comma,Surrey,VC,7,1911,female,15.241,83.636,2.988,6.879
47,Hesperia comma,Surrey,VC,7,1911,female,14.636,78.966,3.27,6.22
1,Thymelicus sylvestris,Cornwall,UA,7,1911,male,13.504,65.005,2.211,6.319
51,Thymelicus sylvestris,Gloucestershire,UA,7,1911,male,12.582,59.748,2.292,6.979
46,Thymelicus sylvestris,Surrey,VC,8,1912,female,13.284,67.167,2.623,7.31
38,Pyrgus malvae,Hampshire,UA,5,1913,NA,11.377,48.095,2.218,4.763
53,Pyrgus malvae,Hampshire,UA,5,1913,NA,11.434,44.891,2.29,5.108
54,Pyrgus malvae,Hampshire,UA,5,1913,NA,10.826,45.842,2.293,5.002
4,Thymelicus sylvestris,Somerset,UA,7,1913,male,13.13,64.011,1.694,5.7
22,Thymelicus sylvestris,Somerset,UA,7,1913,male,13.053,59.293,1.921,5.926
31,Thymelicus sylvestris,Hampshire,UA,7,1913,male,13.815,68.684,2.436,6.277
32,Thymelicus sylvestris,Hampshire,UA,7,1913,male,13.147,66.361,2.333,6.999
43,Thymelicus sylvestris,Hampshire,UA,7,1913,male,12.2,52.89,1.982,5.699
45,Pyrgus malvae,Hampshire,UA,5,1914,NA,11.711,53.106,2.237,5.326
64,Pyrgus malvae,Hampshire,UA,5,1914,NA,10.667,43.761,2.105,4.765
66,Pyrgus malvae,Hampshire,UA,5,1914,NA,11.67,52.134,2.219,4.848
16,Thymelicus sylvestris,Dorset,VC,7,1914,female,12.744,61.768,2.643,4.873
37,Thymelicus sylvestris,Surrey,VC,7,1914,male,12.131,57.302,2.168,6.318
